"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M"
"id","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female"
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","55.0","6.6","53.6","14.5","55.8","4.6"
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","35.0","8.9","32.0","8.6","39.0","16.3"
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","44.2","6.5","44.9","6.8","43.5","13.2"
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","31.2","1.6","30.8","4.5","31.4","4.0"
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","32.8","4.0","29.0","6.9","34.2","9.1"
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","44.1","5.5","40.7","8.3","48.1","9.4"
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","39.3","2.5","38.0","6.1","42.2","13.8"
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","34.2","8.2","34.6","8.0","32.5","11.4"
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","46.7","23.8","30.6","5.4","53.7","10.8"
"1500000US530330002005","Block Group 5, Census Tract 2, King County, Washington","32.8","6.5","30.0","6.9","39.5","8.8"
"1500000US530330002006","Block Group 6, Census Tract 2, King County, Washington","40.6","11.2","40.8","13.0","37.4","18.3"
"1500000US530330003001","Block Group 1, Census Tract 3, King County, Washington","38.1","2.5","39.9","2.8","35.2","3.8"
"1500000US530330003002","Block Group 2, Census Tract 3, King County, Washington","35.2","3.5","33.7","3.9","46.8","6.7"
"1500000US530330004011","Block Group 1, Census Tract 4.01, King County, Washington","50.6","7.2","47.7","10.6","52.6","9.2"
"1500000US530330004012","Block Group 2, Census Tract 4.01, King County, Washington","36.5","6.8","36.1","7.4","36.8","11.2"
"1500000US530330004013","Block Group 3, Census Tract 4.01, King County, Washington","60.5","4.5","38.0","22.4","68.2","10.1"
