CensusBlockGroupID,GeographicAreaName,MedianAgeTotal
530330001001 ,"Block Group 1, Census Tract 1, King County, Washington",55
530330001002 ,"Block Group 2, Census Tract 1, King County, Washington",35
530330001003 ,"Block Group 3, Census Tract 1, King County, Washington",44.2
530330001004 ,"Block Group 4, Census Tract 1, King County, Washington",31.2
530330001005 ,"Block Group 5, Census Tract 1, King County, Washington",32.8
530330002001 ,"Block Group 1, Census Tract 2, King County, Washington",44.1
530330002002 ,"Block Group 2, Census Tract 2, King County, Washington",39.3
530330002003 ,"Block Group 3, Census Tract 2, King County, Washington",34.2
530330002004 ,"Block Group 4, Census Tract 2, King County, Washington",46.7
530330002005 ,"Block Group 5, Census Tract 2, King County, Washington",32.8
530330002006 ,"Block Group 6, Census Tract 2, King County, Washington",40.6
530330003001 ,"Block Group 1, Census Tract 3, King County, Washington",38.1
530330003002 ,"Block Group 2, Census Tract 3, King County, Washington",35.2
530330004011 ,"Block Group 1, Census Tract 4.01, King County, Washington",50.6
530330004012 ,"Block Group 2, Census Tract 4.01, King County, Washington",36.5
530330004013 ,"Block Group 3, Census Tract 4.01, King County, Washington",60.5
530330004021 ,"Block Group 1, Census Tract 4.02, King County, Washington",45.7
530330004022 ,"Block Group 2, Census Tract 4.02, King County, Washington",53.2
530330004023 ,"Block Group 3, Census Tract 4.02, King County, Washington",30.8
530330004024 ,"Block Group 4, Census Tract 4.02, King County, Washington",45.6
530330005001 ,"Block Group 1, Census Tract 5, King County, Washington",51.9
530330005002 ,"Block Group 2, Census Tract 5, King County, Washington",51.1
530330005003 ,"Block Group 3, Census Tract 5, King County, Washington",55.1
530330006001 ,"Block Group 1, Census Tract 6, King County, Washington",45.7
530330006002 ,"Block Group 2, Census Tract 6, King County, Washington",49.7
530330006003 ,"Block Group 3, Census Tract 6, King County, Washington",32.6
530330006004 ,"Block Group 4, Census Tract 6, King County, Washington",35.2
530330006005 ,"Block Group 5, Census Tract 6, King County, Washington",42.4
530330006006 ,"Block Group 6, Census Tract 6, King County, Washington",29.6
530330007001 ,"Block Group 1, Census Tract 7, King County, Washington",35.2
530330007002 ,"Block Group 2, Census Tract 7, King County, Washington",33.4
530330007003 ,"Block Group 3, Census Tract 7, King County, Washington",41
530330007004 ,"Block Group 4, Census Tract 7, King County, Washington",35.1
530330008001 ,"Block Group 1, Census Tract 8, King County, Washington",43
530330008002 ,"Block Group 2, Census Tract 8, King County, Washington",40.5
530330009001 ,"Block Group 1, Census Tract 9, King County, Washington",50.5
530330009002 ,"Block Group 2, Census Tract 9, King County, Washington",53.1
530330010001 ,"Block Group 1, Census Tract 10, King County, Washington",35.6
530330010002 ,"Block Group 2, Census Tract 10, King County, Washington",41.2
530330011001 ,"Block Group 1, Census Tract 11, King County, Washington",42.2
530330011002 ,"Block Group 2, Census Tract 11, King County, Washington",41.9
530330012001 ,"Block Group 1, Census Tract 12, King County, Washington",42.8
530330012002 ,"Block Group 2, Census Tract 12, King County, Washington",34.1
530330012003 ,"Block Group 3, Census Tract 12, King County, Washington",39.3
530330012004 ,"Block Group 4, Census Tract 12, King County, Washington",33.1
530330012005 ,"Block Group 5, Census Tract 12, King County, Washington",30.8
530330013001 ,"Block Group 1, Census Tract 13, King County, Washington",37.6
530330013002 ,"Block Group 2, Census Tract 13, King County, Washington",39.2
530330013003 ,"Block Group 3, Census Tract 13, King County, Washington",32.4
530330014001 ,"Block Group 1, Census Tract 14, King County, Washington",34.1
530330014002 ,"Block Group 2, Census Tract 14, King County, Washington",32.9
530330014003 ,"Block Group 3, Census Tract 14, King County, Washington",33.8
530330014004 ,"Block Group 4, Census Tract 14, King County, Washington",41.6
530330015001 ,"Block Group 1, Census Tract 15, King County, Washington",40.6
530330015002 ,"Block Group 2, Census Tract 15, King County, Washington",50.3
530330016001 ,"Block Group 1, Census Tract 16, King County, Washington",42.2
530330016002 ,"Block Group 2, Census Tract 16, King County, Washington",47.1
530330016003 ,"Block Group 3, Census Tract 16, King County, Washington",40.4
530330017011 ,"Block Group 1, Census Tract 17.01, King County, Washington",30.9
530330017012 ,"Block Group 2, Census Tract 17.01, King County, Washington",36.6
530330017013 ,"Block Group 3, Census Tract 17.01, King County, Washington",32.9
530330017021 ,"Block Group 1, Census Tract 17.02, King County, Washington",37.4
530330017022 ,"Block Group 2, Census Tract 17.02, King County, Washington",37.2
530330017023 ,"Block Group 3, Census Tract 17.02, King County, Washington",42
