GEO_ID,NAME,B01002_001E,B01002_001M,B01002_002E,B01002_002M,B01002_003E,B01002_003M
id,Geographic Area Name,Estimate!!Median age --!!Total:,Margin of Error!!Median age --!!Total:,Estimate!!Median age --!!Male,Margin of Error!!Median age --!!Male,Estimate!!Median age --!!Female,Margin of Error!!Median age --!!Female
530330001001 ,"Block Group 1, Census Tract 1, King County, Washington",55,6.6,53.6,14.5,55.8,4.6
530330001002 ,"Block Group 2, Census Tract 1, King County, Washington",35,8.9,32,8.6,39,16.3
530330001003 ,"Block Group 3, Census Tract 1, King County, Washington",44.2,6.5,44.9,6.8,43.5,13.2
530330001004 ,"Block Group 4, Census Tract 1, King County, Washington",31.2,1.6,30.8,4.5,31.4,4
530330001005 ,"Block Group 5, Census Tract 1, King County, Washington",32.8,4,29,6.9,34.2,9.1
530330002001 ,"Block Group 1, Census Tract 2, King County, Washington",44.1,5.5,40.7,8.3,48.1,9.4
530330002002 ,"Block Group 2, Census Tract 2, King County, Washington",39.3,2.5,38,6.1,42.2,13.8
530330002003 ,"Block Group 3, Census Tract 2, King County, Washington",34.2,8.2,34.6,8,32.5,11.4
530330002004 ,"Block Group 4, Census Tract 2, King County, Washington",46.7,23.8,30.6,5.4,53.7,10.8
530330002005 ,"Block Group 5, Census Tract 2, King County, Washington",32.8,6.5,30,6.9,39.5,8.8
530330002006 ,"Block Group 6, Census Tract 2, King County, Washington",40.6,11.2,40.8,13,37.4,18.3
530330003001 ,"Block Group 1, Census Tract 3, King County, Washington",38.1,2.5,39.9,2.8,35.2,3.8
530330003002 ,"Block Group 2, Census Tract 3, King County, Washington",35.2,3.5,33.7,3.9,46.8,6.7
530330004011 ,"Block Group 1, Census Tract 4.01, King County, Washington",50.6,7.2,47.7,10.6,52.6,9.2
530330004012 ,"Block Group 2, Census Tract 4.01, King County, Washington",36.5,6.8,36.1,7.4,36.8,11.2
530330004013 ,"Block Group 3, Census Tract 4.01, King County, Washington",60.5,4.5,38,22.4,68.2,10.1
530330004021 ,"Block Group 1, Census Tract 4.02, King County, Washington",45.7,10.5,39.6,6.1,55.9,17.6
530330004022 ,"Block Group 2, Census Tract 4.02, King County, Washington",53.2,12,52.4,16.4,53.4,13
530330004023 ,"Block Group 3, Census Tract 4.02, King County, Washington",30.8,3,30.4,1.9,40.1,22.9
530330004024 ,"Block Group 4, Census Tract 4.02, King County, Washington",45.6,1.6,45.3,11.7,47.4,15.6
530330005001 ,"Block Group 1, Census Tract 5, King County, Washington",51.9,6.1,50.8,7.9,52.2,6
530330005002 ,"Block Group 2, Census Tract 5, King County, Washington",51.1,5.5,50.8,7.4,51.2,5.6
530330005003 ,"Block Group 3, Census Tract 5, King County, Washington",55.1,6.6,49.9,18.4,56.4,3.7
530330006001 ,"Block Group 1, Census Tract 6, King County, Washington",45.7,7.8,42.9,10.9,46.9,11.9
530330006002 ,"Block Group 2, Census Tract 6, King County, Washington",49.7,7.4,49.8,7.7,45.8,23.5
530330006003 ,"Block Group 3, Census Tract 6, King County, Washington",32.6,8.8,32.5,10.3,32.7,9.6
530330006004 ,"Block Group 4, Census Tract 6, King County, Washington",35.2,3.4,34.2,2.6,36.2,7.1
530330006005 ,"Block Group 5, Census Tract 6, King County, Washington",42.4,6,40.5,4.6,43.7,7
530330006006 ,"Block Group 6, Census Tract 6, King County, Washington",29.6,0.9,29.4,6.6,29.7,3.6
530330007001 ,"Block Group 1, Census Tract 7, King County, Washington",35.2,4.2,33.4,6.2,35.7,5.1
530330007002 ,"Block Group 2, Census Tract 7, King County, Washington",33.4,3.4,33.5,6.6,33.3,4.7
530330007003 ,"Block Group 3, Census Tract 7, King County, Washington",41,25.4,36.6,29.5,41.2,16.2
530330007004 ,"Block Group 4, Census Tract 7, King County, Washington",35.1,4.3,30.7,10.1,50.1,18.5
530330008001 ,"Block Group 1, Census Tract 8, King County, Washington",43,4.9,43.3,6.6,42.6,4.7
530330008002 ,"Block Group 2, Census Tract 8, King County, Washington",40.5,5.9,36.2,7.5,43.2,4
530330009001 ,"Block Group 1, Census Tract 9, King County, Washington",50.5,6.1,48.9,8.1,51,6.8
530330009002 ,"Block Group 2, Census Tract 9, King County, Washington",53.1,7.3,52.6,7.4,55.4,9.6
530330010001 ,"Block Group 1, Census Tract 10, King County, Washington",35.6,4.6,37.3,4.2,34.3,5.9
530330010002 ,"Block Group 2, Census Tract 10, King County, Washington",41.2,2.7,40,4,41.8,3.7
530330011001 ,"Block Group 1, Census Tract 11, King County, Washington",42.2,5.6,43.7,4.9,37.8,7.4
530330011002 ,"Block Group 2, Census Tract 11, King County, Washington",41.9,8.7,42.4,10.9,41.7,8.7
530330012001 ,"Block Group 1, Census Tract 12, King County, Washington",42.8,4,41.6,9,43.5,4.6
530330012002 ,"Block Group 2, Census Tract 12, King County, Washington",34.1,9.3,32.4,13.9,35.9,24.7
530330012003 ,"Block Group 3, Census Tract 12, King County, Washington",39.3,6.7,34.9,13.2,40.4,27.4
530330012004 ,"Block Group 4, Census Tract 12, King County, Washington",33.1,2,32.9,2.8,33.3,5.6
530330012005 ,"Block Group 5, Census Tract 12, King County, Washington",30.8,4.4,34.4,8.9,30.3,2.5
530330013001 ,"Block Group 1, Census Tract 13, King County, Washington",37.6,4.8,35.9,6.7,40.1,7.1
530330013002 ,"Block Group 2, Census Tract 13, King County, Washington",39.2,5.2,39.3,6.4,37.9,7.6
530330013003 ,"Block Group 3, Census Tract 13, King County, Washington",32.4,2.9,32.1,3.2,33.2,4
530330014001 ,"Block Group 1, Census Tract 14, King County, Washington",34.1,8.5,35.3,11.8,33.5,8.3
530330014002 ,"Block Group 2, Census Tract 14, King County, Washington",32.9,11,32.5,15.6,37.2,6.9
530330014003 ,"Block Group 3, Census Tract 14, King County, Washington",33.8,4.3,37.2,4.4,33.4,3.8
530330014004 ,"Block Group 4, Census Tract 14, King County, Washington",41.6,3.3,38.6,12.2,44.1,2.8
530330015001 ,"Block Group 1, Census Tract 15, King County, Washington",40.6,3.7,41.3,3.4,39.7,4.7
530330015002 ,"Block Group 2, Census Tract 15, King County, Washington",50.3,4.5,48.5,7.2,50.7,5.8
530330016001 ,"Block Group 1, Census Tract 16, King County, Washington",42.2,3.4,42,5.8,42.3,5.6
530330016002 ,"Block Group 2, Census Tract 16, King County, Washington",47.1,3.8,48.8,1.8,43.8,6.8
530330016003 ,"Block Group 3, Census Tract 16, King County, Washington",40.4,3.8,39,4,41.3,5
530330017011 ,"Block Group 1, Census Tract 17.01, King County, Washington",30.9,3.3,34.1,8.1,30.4,2.4
530330017012 ,"Block Group 2, Census Tract 17.01, King County, Washington",36.6,9.2,45.1,14.6,35.8,5.4
530330017013 ,"Block Group 3, Census Tract 17.01, King County, Washington",32.9,3.5,33,5.5,32.7,4.2
530330017021 ,"Block Group 1, Census Tract 17.02, King County, Washington",37.4,2.1,37.9,3,31.5,6.8
530330017022 ,"Block Group 2, Census Tract 17.02, King County, Washington",37.2,5.7,37.3,4.6,37.2,10.1
530330017023 ,"Block Group 3, Census Tract 17.02, King County, Washington",42,9.5,43.6,12.9,41.6,9.2
530330017024 ,"Block Group 4, Census Tract 17.02, King County, Washington",31.1,6.9,26.9,10.9,34.7,29.6
530330018001 ,"Block Group 1, Census Tract 18, King County, Washington",33.4,2.6,33.3,5.1,33.4,2.8
530330018002 ,"Block Group 2, Census Tract 18, King County, Washington",32,1.1,31.5,1.2,32.7,1.6
530330018003 ,"Block Group 3, Census Tract 18, King County, Washington",33.7,2.9,34.3,4.3,33,3.7
530330019001 ,"Block Group 1, Census Tract 19, King County, Washington",32.9,2.9,32.5,2.5,34.2,5.7
530330019002 ,"Block Group 2, Census Tract 19, King County, Washington",35.3,2.1,35.1,5.5,35.4,1.7
530330019003 ,"Block Group 3, Census Tract 19, King County, Washington",33.5,6,33.9,8.6,32.3,7.5
530330020001 ,"Block Group 1, Census Tract 20, King County, Washington",35.2,2.7,32.9,5.2,35.7,3.8
530330020002 ,"Block Group 2, Census Tract 20, King County, Washington",47,4.4,45.7,5.6,48,4.2
530330020003 ,"Block Group 3, Census Tract 20, King County, Washington",36.9,9.4,45.4,4.8,36.1,1.7
530330021001 ,"Block Group 1, Census Tract 21, King County, Washington",39.5,5.3,36.4,5,43.1,6.7
530330021002 ,"Block Group 2, Census Tract 21, King County, Washington",32.4,5,30.6,5.2,36.4,4.3
530330021003 ,"Block Group 3, Census Tract 21, King County, Washington",35.3,3.3,35.2,4,35.9,9.2
530330022001 ,"Block Group 1, Census Tract 22, King County, Washington",39.5,6.1,38.1,5.9,43.4,12.4
530330022002 ,"Block Group 2, Census Tract 22, King County, Washington",38.4,3.3,38.5,5.6,38.3,5.5
530330022003 ,"Block Group 3, Census Tract 22, King County, Washington",46.9,17,48.5,22.5,44.7,15.4
530330022004 ,"Block Group 4, Census Tract 22, King County, Washington",50.4,7.6,48.3,7.8,57.6,6.8
530330024001 ,"Block Group 1, Census Tract 24, King County, Washington",42.6,4.9,41.8,15.2,45.9,7.9
530330024002 ,"Block Group 2, Census Tract 24, King County, Washington",37.9,7.1,39.9,7.4,36.5,10.6
530330024003 ,"Block Group 3, Census Tract 24, King County, Washington",39.3,6.9,38.3,10.5,40.9,6.2
530330025001 ,"Block Group 1, Census Tract 25, King County, Washington",37.7,5.7,40.1,5.8,33.5,13.8
530330025002 ,"Block Group 2, Census Tract 25, King County, Washington",38.8,4.6,37.8,6,40.1,5.9
530330026001 ,"Block Group 1, Census Tract 26, King County, Washington",37.7,7,35.5,5.1,40,11.8
530330026002 ,"Block Group 2, Census Tract 26, King County, Washington",41.7,7.9,43.5,10.8,39.7,11.1
530330026003 ,"Block Group 3, Census Tract 26, King County, Washington",27.5,4.8,26,3.4,35.5,9.1
530330026004 ,"Block Group 4, Census Tract 26, King County, Washington",37.7,5.4,37.5,7.3,38.1,6.7
530330027001 ,"Block Group 1, Census Tract 27, King County, Washington",31.9,9,29.3,11.7,32.8,7.9
530330027002 ,"Block Group 2, Census Tract 27, King County, Washington",32.3,11.8,40.8,14.9,25.7,8.2
530330027003 ,"Block Group 3, Census Tract 27, King County, Washington",41.2,16.3,39.3,9.1,55.7,19.5
530330027004 ,"Block Group 4, Census Tract 27, King County, Washington",36.1,4.3,38.6,6.1,31.9,6.6
530330028001 ,"Block Group 1, Census Tract 28, King County, Washington",39.2,5.5,34.9,8.5,41.8,8.4
530330028002 ,"Block Group 2, Census Tract 28, King County, Washington",38.7,9.3,33.6,11.2,41.3,5.5
530330028003 ,"Block Group 3, Census Tract 28, King County, Washington",37.1,5.8,37.5,5.5,33.3,8.2
530330028004 ,"Block Group 4, Census Tract 28, King County, Washington",35.6,2.7,33.3,4.9,36.5,1.8
530330029001 ,"Block Group 1, Census Tract 29, King County, Washington",40,5.3,37.2,8.8,42.2,3.6
530330029002 ,"Block Group 2, Census Tract 29, King County, Washington",42.3,7.5,38.5,7.6,43,7
530330029003 ,"Block Group 3, Census Tract 29, King County, Washington",37.9,5.6,35,5.8,41.4,5.6
530330030001 ,"Block Group 1, Census Tract 30, King County, Washington",43.6,6.7,40.7,5.5,47.6,11.6
530330030002 ,"Block Group 2, Census Tract 30, King County, Washington",42,4.1,38.4,7.1,42.6,2.1
530330030003 ,"Block Group 3, Census Tract 30, King County, Washington",36.4,2.8,36.7,4.3,34.8,8.7
530330030004 ,"Block Group 4, Census Tract 30, King County, Washington",34.2,2.5,35,4.7,32.2,8.8
530330031001 ,"Block Group 1, Census Tract 31, King County, Washington",41.9,4.2,43.8,5.2,41.5,3.1
530330031002 ,"Block Group 2, Census Tract 31, King County, Washington",38.4,5.1,36.7,4.9,41.1,11.5
530330031003 ,"Block Group 3, Census Tract 31, King County, Washington",44.2,10.1,45.5,8.3,40.5,11.2
530330031004 ,"Block Group 4, Census Tract 31, King County, Washington",45.4,5.5,42.4,7.2,49.1,6.7
530330031005 ,"Block Group 5, Census Tract 31, King County, Washington",39.3,9.9,31.8,5.5,42.3,4.6
530330032001 ,"Block Group 1, Census Tract 32, King County, Washington",31.7,5.8,35.3,3.9,29.9,2.6
530330032002 ,"Block Group 2, Census Tract 32, King County, Washington",33.8,2.8,33.7,2.4,33.9,6.8
530330032003 ,"Block Group 3, Census Tract 32, King County, Washington",35.2,7.8,47.6,15.4,31.5,1.5
530330032004 ,"Block Group 4, Census Tract 32, King County, Washington",36,12.8,35.3,11.8,38.2,39.7
530330032005 ,"Block Group 5, Census Tract 32, King County, Washington",34,27.2,33.8,19.2,45.6,28.7
530330032006 ,"Block Group 6, Census Tract 32, King County, Washington",51.2,6.7,52.3,6.5,49.7,9.6
530330032007 ,"Block Group 7, Census Tract 32, King County, Washington",44.4,7.1,48.2,11.4,44.2,5.6
530330033001 ,"Block Group 1, Census Tract 33, King County, Washington",35.9,1.8,35.6,2.2,36.4,2.8
530330033002 ,"Block Group 2, Census Tract 33, King County, Washington",39.2,4.1,39.5,4.9,38.8,5.9
530330033003 ,"Block Group 3, Census Tract 33, King County, Washington",32.5,3.1,33.8,4.5,31.2,3.1
530330033004 ,"Block Group 4, Census Tract 33, King County, Washington",31,4.6,30.9,5.4,31.5,4.8
530330033005 ,"Block Group 5, Census Tract 33, King County, Washington",37.1,7.1,36,10.6,37.1,8.8
530330034001 ,"Block Group 1, Census Tract 34, King County, Washington",36.5,3.5,33.6,2.7,38,3.5
530330034002 ,"Block Group 2, Census Tract 34, King County, Washington",44.1,10.1,43,10.3,47,12
530330034003 ,"Block Group 3, Census Tract 34, King County, Washington",30.9,2.2,30.8,1.4,31.3,7.8
530330035001 ,"Block Group 1, Census Tract 35, King County, Washington",39.4,3.2,39.6,6.1,39.3,3.3
530330035002 ,"Block Group 2, Census Tract 35, King County, Washington",37,3.8,35.2,4.3,39.2,4.3
530330035003 ,"Block Group 3, Census Tract 35, King County, Washington",43.6,4.6,38.6,9.2,47.8,6.1
530330036001 ,"Block Group 1, Census Tract 36, King County, Washington",28.6,2.1,29.1,2.7,28.2,2.6
