tract_id,all_positive
53001950400,0
53005010100,0
53005010201,0
53005010202,0
53005010300,0
53005010809,0
53005010813,0
53005010902,0
53005011001,0
53005011002,0
53005011200,0
53005011800,1
53005011900,0
53007960200,0
53007960300,0
53007960400,1
53007960700,0
53007960801,0
53007960802,0
53007961000,0
53007961100,0
53009000200,0
53009000900,0
53009001100,0
53009001300,0
53009001600,0
53009001900,0
53009002000,0
53009002100,0
53011040203,0
53011040302,0
53011040415,0
53011040507,0
53011040609,1
53011040703,0
53011040710,0
53011040806,0
53011040908,0
53011041108,0
53011041203,0
53011041206,0
53011041327,0
53011041328,0
53011041330,0
53011041800,0
53011042600,0
53015000601,0
53015001502,0
53015001900,0
53015002001,0
53017950100,0
53017950500,0
53017950700,0
53017950800,0
53021020400,0
53021020502,0
53021020800,1
53025010400,0
53025010600,1
53025011000,0
53025011100,0
53025011402,0
53027000200,0
53027001000,0
53029970300,0
53029970602,0
53029970700,0
53029971000,2
53029971300,0
53029971400,0
53029971600,0
53029971800,0
53029971900,1
53029972000,0
53029972100,0
53031950202,0
53031950300,0
53031950500,0
53031950601,0
53031950602,0
53031950702,0
53033000100,217
53033000200,191
53033000300,67
53033000401,135
53033000402,126
53033000500,47
53033000600,324
53033000700,116
53033000800,47
53033000900,41
53033001000,32
53033001100,37
53033001200,168
53033001300,102
53033001400,80
53033001500,56
53033001600,68
53033001701,77
53033001702,134
53033001800,104
53033001900,78
53033002000,39
53033002100,57
53033002200,56
53033002400,25
53033002500,34
53033002600,69
53033002700,73
53033002800,61
53033002900,57
53033003000,57
53033003100,86
53033003200,101
53033003300,80
53033003400,48
53033003500,31
53033003600,149
53033003800,25
53033003900,37
53033004000,51
53033004100,101
53033004200,87
53033004301,49
53033004302,182
53033004400,144
53033004500,50
53033004600,34
53033004700,163
53033004800,49
53033004900,94
53033005000,70
53033005100,53
53033005200,85
53033005301,345
53033005302,53
53033005400,84
53033005600,97
53033005700,61
53033005801,85
53033005802,86
53033005900,83
53033006000,131
53033006100,100
53033006200,73
53033006300,85
53033006400,38
53033006500,66
53033006600,81
53033006700,188
53033006800,34
53033006900,39
53033007000,106
53033007100,112
53033007200,183
53033007300,220
53033007401,89
53033007402,79
53033007500,162
53033007600,64
53033007700,88
53033007800,63
53033007900,121
53033008001,133
53033008002,75
53033008100,206
53033008200,98
53033008300,70
53033008400,103
53033008500,170
53033008600,155
53033008700,111
53033008800,45
53033008900,111
53033009000,169
53033009100,53
53033009200,188
53033009300,169
53033009400,189
53033009500,148
53033009600,143
53033009701,111
53033009702,106
53033009800,108
53033009900,109
53033010001,158
53033010002,129
53033010100,414
53033010200,111
53033010300,228
53033010401,124
53033010402,138
53033010500,190
53033010600,122
53033010701,111
53033010702,155
53033010800,158
53033010900,43
53033011001,215
53033011002,198
53033011101,251
53033011102,217
53033011200,171
53033011300,258
53033011401,144
53033011402,199
53033011500,72
53033011600,131
53033011700,229
53033011800,354
53033011900,260
53033012000,75
53033012100,64
53033020100,102
53033020200,147
53033020300,229
53033020401,97
53033020402,92
53033020500,212
53033020600,67
53033020700,101
53033020800,94
53033020900,70
53033021000,148
53033021100,184
53033021300,83
53033021400,64
53033021500,56
53033021600,78
53033021700,224
53033021802,113
53033021803,90
53033021804,122
53033021903,134
53033021904,109
53033021905,112
53033021906,80
53033022001,102
53033022003,97
53033022005,100
53033022006,166
53033022101,77
53033022102,76
53033022201,67
53033022202,139
53033022203,91
53033022300,40
53033022400,136
53033022500,173
53033022603,95
53033022604,74
53033022605,90
53033022606,73
53033022701,44
53033022702,48
53033022703,48
53033022801,125
53033022802,60
53033022803,82
53033022901,44
53033022902,82
53033023000,126
53033023100,61
53033023201,142
53033023202,158
53033023300,166
53033023401,124
53033023403,44
53033023404,57
53033023500,55
53033023601,96
53033023603,109
53033023604,134
53033023700,68
53033023801,53
53033023803,83
53033023804,102
53033023900,150
53033024000,117
53033024100,99
53033024200,45
53033024300,131
53033024400,54
53033024500,70
53033024601,61
53033024602,52
53033024701,55
53033024702,156
53033024800,113
53033024901,44
53033024902,57
53033024903,68
53033025001,61
53033025003,95
53033025005,66
53033025006,69
53033025101,181
53033025102,227
53033025200,283
53033025301,235
