tract_id,precount_positive
53001950400,0
53005010100,0
53005010201,0
53005010202,0
53005010300,0
53005010809,0
53005010813,0
53005010902,0
53005011001,0
53005011002,0
53005011200,0
53005011800,0
53005011900,0
53007960200,0
53007960300,0
53007960400,1
53007960700,0
53007960801,0
53007960802,0
53007961000,0
53007961100,0
53009000200,0
53009000900,0
53009001100,0
53009001300,0
53009001600,0
53009001900,0
53009002000,0
53009002100,0
53011040203,0
53011040302,0
53011040415,0
53011040507,0
53011040609,0
53011040703,0
53011040710,0
53011040806,0
53011040908,0
53011041108,0
53011041203,0
53011041206,0
53011041327,0
53011041328,0
53011041330,0
53011041800,0
53011042600,0
53015000601,0
53015001502,0
53015001900,0
53015002001,0
53017950100,0
53017950500,0
53017950700,0
53017950800,0
53021020400,0
53021020502,0
53021020800,0
53025010400,0
53025010600,0
53025011000,0
53025011100,0
53025011402,0
53027000200,0
53027001000,0
53029970300,0
53029970602,0
53029970700,0
53029971000,1
53029971300,0
53029971400,0
53029971600,0
53029971800,0
53029971900,0
53029972000,0
53029972100,0
53031950202,0
53031950300,0
53031950500,0
53031950601,0
53031950602,0
53031950702,0
53033000100,20
53033000200,35
53033000300,9
53033000401,25
53033000402,20
53033000500,4
53033000600,36
53033000700,14
53033000800,3
53033000900,3
53033001000,4
53033001100,4
53033001200,21
53033001300,14
53033001400,13
53033001500,2
53033001600,11
53033001701,10
53033001702,25
53033001800,12
53033001900,3
53033002000,5
53033002100,2
53033002200,4
53033002400,4
53033002500,9
53033002600,8
53033002700,11
53033002800,10
53033002900,12
53033003000,8
53033003100,10
53033003200,23
53033003300,6
53033003400,2
53033003500,3
53033003600,24
53033003800,10
53033003900,4
53033004000,14
53033004100,8
53033004200,16
53033004301,10
53033004302,3
53033004400,7
53033004500,5
53033004600,4
53033004700,24
53033004800,8
53033004900,18
53033005000,9
53033005100,8
53033005200,15
53033005301,9
53033005302,2
53033005400,9
53033005600,3
53033005700,6
53033005801,5
53033005802,8
53033005900,5
53033006000,23
53033006100,16
53033006200,8
53033006300,18
53033006400,6
53033006500,4
53033006600,5
53033006700,30
53033006800,0
53033006900,5
53033007000,8
53033007100,6
53033007200,14
53033007300,41
53033007401,16
53033007402,10
53033007500,21
53033007600,8
53033007700,11
53033007800,10
53033007900,19
53033008001,9
53033008002,4
53033008100,32
53033008200,16
53033008300,8
53033008400,6
53033008500,20
53033008600,22
53033008700,9
53033008800,8
53033008900,8
53033009000,22
53033009100,9
53033009200,41
53033009300,19
53033009400,35
53033009500,16
53033009600,5
53033009701,5
53033009702,11
53033009800,10
53033009900,8
53033010001,22
53033010002,11
53033010100,73
53033010200,15
53033010300,31
53033010401,7
53033010402,22
53033010500,31
53033010600,12
53033010701,11
53033010702,34
53033010800,12
53033010900,9
53033011001,14
53033011002,9
53033011101,22
53033011102,22
53033011200,16
53033011300,37
53033011401,10
53033011402,18
53033011500,7
53033011600,7
53033011700,35
53033011800,41
53033011900,28
53033012000,6
53033012100,7
53033020100,40
53033020200,47
53033020300,30
53033020401,20
53033020402,10
53033020500,35
53033020600,15
53033020700,14
53033020800,11
53033020900,6
53033021000,21
53033021100,63
53033021300,9
53033021400,14
53033021500,6
53033021600,18
53033021700,40
53033021802,11
53033021803,15
53033021804,15
53033021903,24
53033021904,22
53033021905,18
53033021906,16
53033022001,12
53033022003,17
53033022005,15
53033022006,100
53033022101,15
53033022102,10
53033022201,13
53033022202,20
53033022203,15
53033022300,3
53033022400,10
53033022500,13
53033022603,18
53033022604,14
53033022605,16
53033022606,26
53033022701,2
53033022702,7
53033022703,5
53033022801,9
53033022802,5
53033022803,17
53033022901,5
53033022902,21
53033023000,28
53033023100,3
53033023201,14
53033023202,38
53033023300,23
53033023401,17
53033023403,5
53033023404,5
53033023500,4
53033023601,15
53033023603,13
53033023604,18
53033023700,10
53033023801,13
53033023803,16
53033023804,14
53033023900,20
53033024000,14
53033024100,10
53033024200,9
53033024300,27
53033024400,9
53033024500,8
53033024601,10
53033024602,14
53033024701,4
53033024702,14
53033024800,16
53033024901,6
53033024902,7
53033024903,8
53033025001,9
53033025003,8
53033025005,6
53033025006,11
53033025101,21
53033025102,16
53033025200,33
53033025301,16
