tract_id,GeographicAreaName,MedianAgeTotal,MedianAgeMale,MedianAgeFemale,parkcount_2019,parkcount_2020,Positives,People_Tested,All_Test_Results
53001950400,"Census Tract 9504, Adams County, Washington",25.4,24.6,27.0,37,16,0,2,8
53005010100,"Census Tract 101, Benton County, Washington",46.1,44.0,47.6,66,46,0,1,2
53005010201,"Census Tract 102.01, Benton County, Washington",42.3,45.3,39.5,91,71,0,1,1
53005010202,"Census Tract 102.02, Benton County, Washington",32.9,32.5,34.1,128,53,0,2,5
53005010300,"Census Tract 103, Benton County, Washington",32.2,30.1,34.0,99,60,0,1,1
53005010809,"Census Tract 108.09, Benton County, Washington",35.1,33.9,36.1,90,107,0,2,5
53005010813,"Census Tract 108.13, Benton County, Washington",38.7,35.2,41.2,202,137,0,1,4
53005010902,"Census Tract 109.02, Benton County, Washington",29.0,28.5,29.9,54,20,0,1,2
53005011001,"Census Tract 110.01, Benton County, Washington",32.8,32.5,35.7,67,64,0,1,2
53005011002,"Census Tract 110.02, Benton County, Washington",28.6,28.7,28.6,79,25,0,1,3
53005011200,"Census Tract 112, Benton County, Washington",24.8,21.8,28.7,56,50,0,1,1
53005011800,"Census Tract 118, Benton County, Washington",40.7,43.7,40.0,110,49,1,1,2
53005011900,"Census Tract 119, Benton County, Washington",40.3,40.8,37.7,62,34,0,1,5
53007960200,"Census Tract 9602, Chelan County, Washington",49.7,49.9,49.1,55,12,0,2,5
53007960300,"Census Tract 9603, Chelan County, Washington",40.4,43.1,39.2,95,53,0,1,1
53007960400,"Census Tract 9604, Chelan County, Washington",44.6,31.0,49.0,24,16,1,3,4
53007960700,"Census Tract 9607, Chelan County, Washington",47.4,45.4,49.3,123,26,0,1,2
53007960801,"Census Tract 9608.01, Chelan County, Washington",49.4,49.2,49.6,29,8,0,2,15
53007960802,"Census Tract 9608.02, Chelan County, Washington",38.7,36.7,40.1,107,56,0,2,5
53007961000,"Census Tract 9610, Chelan County, Washington",35.5,31.2,38.6,105,25,0,1,1
53007961100,"Census Tract 9611, Chelan County, Washington",28.5,26.7,30.4,169,53,0,1,8
53009001100,"Census Tract 11, Clallam County, Washington",37.6,32.8,38.9,30,4,0,1,1
53009001300,"Census Tract 13, Clallam County, Washington",49.4,44.3,52.5,21,11,0,1,2
53011040203,"Census Tract 402.03, Clark County, Washington",42.8,42.5,42.9,107,47,0,1,2
53011040302,"Census Tract 403.02, Clark County, Washington",36.7,36.9,36.6,183,83,0,1,2
