cbgs_id,visitor_count,median_age,precount_positive,all_positive
53001950400,16,25.4,0,0
53005010100,46,46.1,0,0
53005010201,71,42.3,0,0
53005010202,53,32.9,0,0
53005010300,60,32.2,0,0
53005010809,107,35.1,0,0
53005010813,137,38.7,0,0
53005010902,20,29.0,0,0
53005011001,64,32.8,0,0
53005011002,25,28.6,0,0
53005011200,50,24.8,0,0
53005011800,49,40.7,0,1
53005011900,34,40.3,0,0
53007960200,12,49.7,0,0
53007960300,53,40.4,0,0
53007960400,16,44.6,1,1
53007960700,26,47.4,0,0
53007960801,8,49.4,0,0
53007960802,56,38.7,0,0
53007961000,25,35.5,0,0
53007961100,53,28.5,0,0
53009001100,4,37.6,0,0
53009001300,11,49.4,0,0
53011040203,47,42.8,0,0
53011040302,83,36.7,0,0
53011040415,40,33.9,0,0
53011040507,20,37.5,0,0
53011040609,54,38.4,0,1
53011040703,36,37.1,0,0
53011040710,108,34.3,0,0
53011040806,28,39.4,0,0
53011040908,64,40.7,0,0
53011041108,37,39.4,0,0
53011041203,57,34.6,0,0
53011041206,36,38.4,0,0
53011041327,70,36.2,0,0
53011041328,74,39.2,0,0
53011041330,32,35.1,0,0
53011041800,21,33.2,0,0
53011042600,33,42.6,0,0
53015000601,32,39.9,0,0
53015001502,49,37.0,0,0
53015001900,40,43.1,0,0
53015002001,20,50.7,0,0
53017950100,12,34.5,0,0
53017950500,25,36.6,0,0
53017950700,51,29.7,0,0
53017950800,32,33.7,0,0
53021020400,80,28.1,0,0
53021020502,57,35.5,0,0
53021020800,21,30.9,0,1
53025010400,42,34.5,0,0
53025010600,37,23.9,0,1
53025011000,102,36.3,0,0
53025011100,97,31.4,0,0
53025011402,13,25.6,0,0
53027000200,13,60.1,0,0
53027001000,19,30.9,0,0
53029970300,24,46.1,0,0
53029970602,13,32.5,0,0
53029970700,12,31.1,0,0
53029971000,40,51.7,1,2
53029971300,14,58.6,0,0
53029971400,16,55.9,0,0
53029971600,22,50.7,0,0
53029971800,16,60.1,0,0
53029971900,11,57.3,0,1
53029972000,4,55.2,0,0
53029972100,4,56.7,0,0
53031950202,16,52.1,0,0
53031950300,22,63.1,0,0
53031950500,16,62.1,0,0
53031950601,47,56.5,0,0
53031950602,12,50.4,0,0
53031950702,16,47.7,0,0
53033000100,50,34.9,20,217
53033000200,33,38.1,35,191
53033000300,24,36.4,9,67
53033000401,32,46.2,25,135
53033000402,17,44.0,20,126
53033000500,26,51.9,4,47
53033000600,36,36.9,36,324
53033000700,16,34.5,14,116
53033000800,8,41.5,3,47
53033000900,13,52.2,3,41
53033001000,4,38.8,4,32
53033001100,9,42.1,4,37
53033001200,50,34.7,21,168
53033001300,32,35.6,14,102
53033001400,20,35.2,13,80
53033001500,20,45.1,2,56
53033001600,8,42.4,11,68
53033001701,6,33.5,10,77
53033001702,24,37.4,25,134
53033001800,16,32.8,12,104
53033001900,8,34.1,3,78
53033002000,12,38.3,5,39
53033002100,16,36.1,2,57
53033002200,20,42.0,4,56
53033002400,16,40.9,4,25
53033002500,16,37.9,9,34
53033002600,35,35.6,8,69
53033002700,20,35.4,11,73
53033002800,16,36.9,10,61
53033002900,17,39.8,12,57
53033003000,28,38.1,8,57
53033003100,28,41.5,10,86
53033003200,16,36.8,23,101
53033003300,31,34.9,6,80
53033003400,8,36.3,2,48
53033003500,14,39.5,3,31
53033003600,30,31.8,24,149
53033003800,8,34.9,10,25
53033003900,20,41.5,4,37
53033004000,30,37.2,14,51
53033004100,40,39.1,8,101
53033004200,28,41.7,16,87
53033004301,21,29.9,10,49
53033004400,28,25.1,7,144
53033004500,12,28.7,5,50
53033004600,17,37.7,4,34
53033004700,28,34.0,24,163
53033004800,8,33.7,8,49
53033004900,16,30.6,18,94
53033005000,12,30.2,9,70
53033005100,16,38.3,8,53
53033005200,29,24.5,15,85
53033005301,14,21.9,9,345
53033005302,8,19.4,2,53
53033005400,16,31.8,9,84
53033005600,45,47.2,3,97
53033005700,61,41.2,6,61
53033005801,44,33.6,5,85
53033005802,8,33.7,8,86
53033005900,33,28.0,5,83
53033006000,46,34.0,23,131
53033006100,12,35.4,16,100
53033006200,19,41.1,8,73
